ALAMANCE,urban
BUNCOMBE,urban
BURKE,urban
CALDWELL,urban
CATAWBA,urban
CRAVEN,urban
CUMBERLAND,urban
DURHAM,urban
EDGECOMBE,urban
FORSYTH,urban
GUILFORD,urban
MECKLENBURG,urban
NASH,urban
NEW HANOVER,urban
ONSLOW,urban
ORANGE,urban
PITT,urban
WAKE,urban
WAYNE,urban
ALEXANDER,suburban
BRUNSWICK,suburban
CABARRUS,suburban
CHATHAM,suburban
CURRITUCK,suburban
DAVIDSON,suburban
DAVIE,suburban
FRANKLIN,suburban
GASTON,suburban
GATES,suburban
HAYWOOD,suburban
HENDERSON,suburban
HOKE,suburban
IREDELL,suburban
JOHNSTON,suburban
JONES,suburban
LINCOLN,suburban
MADISON,suburban
PAMLICO,suburban
PENDER,suburban
PERSON,suburban
RANDOLPH,suburban
ROCKINGHAM,suburban
ROWAN,suburban
STOKES,suburban
UNION,suburban
YADKIN,suburban
ALLEGHANY,rural
ANSON,rural
ASHE,rural
AVERY,rural
BEAUFORT,rural
BERTIE,rural
BLADEN,rural
CAMDEN,rural
CARTERET,rural
CASWELL,rural
CHEROKEE,rural
CHOWAN,rural
CLAY,rural
CLEVELAND,rural
COLUMBUS,rural
DARE,rural
DUPLIN,rural
GRAHAM,rural
GRANVILLE,rural
GREENE,rural
HALIFAX,rural
HARNETT,rural
HERTFORD,rural
HYDE,rural
JACKSON,rural
LEE,rural
LENOIR,rural
MACON,rural
MARTIN,rural
MCDOWELL,rural
MITCHELL,rural
MONTGOMERY,rural
MOORE,rural
NORTHAMPTON,rural
PASQUOTANK,rural
PERQUIMANS,rural
POLK,rural
RICHMOND,rural
ROBESON,rural
RUTHERFORD,rural
SAMPSON,rural
SCOTLAND,rural
STANLY,rural
SURRY,rural
SWAIN,rural
TRANSYLVANIA,rural
TYRRELL,rural
VANCE,rural
WARREN,rural
WASHINGTON,rural
WATAUGA,rural
WILKES,rural
WILSON,rural
YANCEY,rural
