county_id,site_id,county,is_changed,site,street,city,zip,lat,lng
1,1,ALAMANCE,1,MEBANE,622 CORREGIDOR RD,MEBANE,27302,36.085725,-79.284137
1,2,ALAMANCE,1,KERNODLE SENIOR CENTER,1535 S MEBANE ST,BURLINGTON,27215,36.079629,-79.451228
1,3,ALAMANCE,1,HOLLY HILL MALL,309 HUFFMAN MILL RD,BURLINGTON,27215,36.07858,-79.487438
1,4,ALAMANCE,1,GRAHAM LIBRARY,211 S MAIN ST,GRAHAM,27253,36.066972,-79.401187
2,5,ALEXANDER,1,BETHLEHEM COMMUNITY FIRE/RESCUE,7373 NC HWY 127,TAYLORSVILLE,28681,35.843571,-81.308952
2,6,ALEXANDER,1,ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE,370 SW 1ST AVE,TAYLORSVILLE,28681,35.919876,-81.180616
3,7,ALLEGHANY,0,ALLEGHANY COUNTY BOARD OF ELECTIONS OFFICE,348 S MAIN ST,SPARTA,28675,36.501896,-81.11666
4,8,ANSON,0,ANSON COUNTY BOARD OF ELECTIONS OFFICE,402 MORVEN RD,WADESBORO,28170,34.96246,-80.07548
5,9,ASHE,1,FLEETWOOD FIRE DEPARTMENT,9005 US HWY 221 S,FLEETWOOD,28626,36.31082,-81.509282
5,10,ASHE,1,ASHE COUNTY BOARD OF ELECTIONS OFFICE,150 GOVERNMENT CIR,JEFFERSON,28640,36.41876,-81.459045
6,11,AVERY,0,AVERY COUNTY BOARD OF ELECTIONS OFFICE,200 MONTEZUMA ST,NEWLAND,28657,36.086603,-81.926669
7,12,BEAUFORT,0,CHOCOWINITY FIRE DEPARTMENT,512 E NC HWY 33,CHOCOWINITY,27817,35.509727,-77.09381
7,13,BEAUFORT,0,BELHAVEN - JOHN A WILKINSON CENTER,144 W MAIN ST,BELHAVEN,27810,35.541023,-76.623038
7,14,BEAUFORT,0,BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE,1308 HIGHLAND DR,WASHINGTON,27889,35.549156,-77.03608
7,15,BEAUFORT,0,AURORA - AURORA COMMUNITY CENTER,442 3RD ST,AURORA,27806,35.303889,-76.785437
8,16,BERTIE,1,POWELLSVILLE TOWN HALL,106 E MAIN ST,POWELLSVILLE,27967,36.22507,-76.93089
8,17,BERTIE,1,MERRY HILL,109 NC HIGHWAY 45 N,MERRY HILL,27957,36.035713,-76.785451
8,18,BERTIE,1,LEWISTON,103 W CHURCH ST,LEWISTON WOODVILLE,27849,36.123398,-77.17764
8,19,BERTIE,1,BERTIE COUNTY BOARD OF ELECTIONS OFFICE,210 W WATSON ST,WINDSOR,27983,36.00118,-76.95208
9,20,BLADEN,1,EAST ARCADIA,1516 EAST ARCADIA RD,RIEGELWOOD,28456,34.379963,-78.332054
9,21,BLADEN,1,DUBLIN,120 2ND ST,DUBLIN,28332,34.658375,-78.72761
9,22,BLADEN,1,BLADENBORO,818 S MAIN ST,BLADENBORO,28320,34.53264,-78.79577
9,23,BLADEN,1,BLADEN COUNTY PUBLIC LIBRARY,111 N CYPRESS ST,ELIZABETHTOWN,28337,34.628654,-78.604065
10,24,BRUNSWICK,1,SOUTHPORT SENIOR CENTER,1513 N HOWE ST,SOUTHPORT,28461,33.937121,-78.028315
